img0000000005.tiff: time=0.205s, CPU=58.35MB, PE_th=20, in_GL=14, out_GL=8
img0000000005_outdoor.tiff: time=0.182s, CPU=58.36MB, PE_th=20, in_GL=14, out_GL=8
img0000000006.tiff: time=0.181s, CPU=59.06MB, PE_th=20, in_GL=14, out_GL=8
img0000000010.tiff: time=0.167s, CPU=59.13MB, PE_th=20, in_GL=14, out_GL=8
img0000000037.tiff: time=0.178s, CPU=59.13MB, PE_th=20, in_GL=14, out_GL=8
img0000000076.tiff: time=0.144s, CPU=59.13MB, PE_th=20, in_GL=14, out_GL=8
img0000000094.tiff: time=0.140s, CPU=58.33MB, PE_th=20, in_GL=14, out_GL=8
img0000000118.tiff: time=0.148s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000185.tiff: time=0.176s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000249.tiff: time=0.171s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000252.tiff: time=0.160s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000256.tiff: time=0.166s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000269.tiff: time=0.148s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000354.tiff: time=0.149s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000354_outdoor.tiff: time=0.149s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000374.tiff: time=0.155s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000384.tiff: time=0.151s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000425.tiff: time=0.156s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000428.tiff: time=0.146s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000438.tiff: time=0.156s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000466.tiff: time=0.153s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000477.tiff: time=0.158s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000486.tiff: time=0.160s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000494.tiff: time=0.157s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000516.tiff: time=0.167s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000532.tiff: time=0.178s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000561.tiff: time=0.169s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000569.tiff: time=0.150s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000594.tiff: time=0.154s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000600.tiff: time=0.146s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000609.tiff: time=0.160s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000662.tiff: time=0.165s, CPU=58.38MB, PE_th=20, in_GL=14, out_GL=8
img0000000686.tiff: time=0.163s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000700.tiff: time=0.214s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000809.tiff: time=0.171s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000877.tiff: time=0.162s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000000949.tiff: time=0.214s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000001155.tiff: time=0.203s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000001166.tiff: time=0.174s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000001321.tiff: time=0.221s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000001369.tiff: time=0.243s, CPU=58.38MB, PE_th=20, in_GL=14, out_GL=8
img0000001437.tiff: time=0.264s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000001652.tiff: time=0.174s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8
img0000001874.tiff: time=0.176s, CPU=59.14MB, PE_th=20, in_GL=14, out_GL=8

Average time per image: 0.172 sec
Total execution time: 7.546 sec
